Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
SUBJECT: fw : hot list 04 - 12 - 01 EMAIL: louise please find attached below the ercot hotlist for the week of april 9 - 13 . thanks chris ahn - - - - - original message - - - - - from : curry mike sent : monday april 16 2001 8 : 33 am to : ahn chris subject : fw : hot list 04 - 12 - 01 please forward a hotlist as soon as possible . thanks - mike - - - - - original message - - - - - from : rode tina sent : friday april 13 2001 11 : 02 am to : baughman edward d . brown michael curry mike pagan ozzie cc : duran w david subject : re : hot list 04 - 12 - 01 please provide a hot list or project list to louise as soon as possible . thanks tina - - - - - - - - - - - - - - - - - - - - - - forwarded by tina rode / hou / ect on 04 / 13 / 2001 10 : 58 am - - - - - - - - - - - - - - - - - - - - - - - - - - - louise kitchen 04 / 13 / 2001 10 : 49 am to : tina rode / hou / ect @ ect cc : tammie . schoppe @ enron . com subject : re : hot list 04 - 12 - 01 yes - but i am still looking for something similar for the rest of the groups - baughman pagan east power and south east power . tina rode 04 / 13 / 2001 10 : 13 am to : tammie schoppe / hou / ect @ ect louise kitchen / hou / ect @ ect cc : subject : hot list 04 - 12 - 01 attached is the hot list that you requested . let me know if you would like to receive this weekly . thanks tina,Legit,False,Low,[' forwarded by Tina Rode'],"['Verify the authenticity of the email', ""Check the Enron employee directory for Louise Kitchen's contact information""]","The email appears to be a forwarded message from an Enron employee, but it lacks personalized content and suspicious links. Further investigation is required to confirm its legitimacy."
"SUBJECT: re : my son EMAIL: vince i left a message with one of yaron s roommates on thursday afternoon for him to call asap for an interview on sunday . i guess he took the wrong number down but i do not understand this because the roommate read the number back to me and it was correct . when i did not hear from yaron i called on friday and left a voice mail with my cell and office numbers . i still did not hear from him and called again yesterday morning . i finally received a call at 4 pm yesterday but by that time my team and myself were half way back to houston . sorry it did not work out . i have a call into charlene jackson as to how she wants me to proceed and i will get back with you . kristin vince j kaminski @ ect 11 / 01 / 2000 08 : 40 am to : john goodpasture / ots / enron @ enron kristin gandy / na / enron @ enron cc : subject : my son fyi vince - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 11 / 01 / 2000 08 : 47 am - - - - - - - - - - - - - - - - - - - - - - - - - - - "" shmuel oren "" on 10 / 31 / 2000 02 : 27 : 18 pm to : cc : subject : my son vince apparently the recruiter spoke to one of my son s roommates and left a phone number 713 343 - 3214 which he tried several times and got busy signals . today she called just before you called me and left her cellphone number but he was in classes all morning and got the message in the afternoon . i really appreciate your going out of your way to help . perhaps there will be another opportunity . shmuel",Legit,False,Low,"['left a message', 'called multiple times', 'got busy signals']","[""Verify the sender's identity"", 'Check for typos or grammatical errors', 'Contact the supposed recruiter directly']","Lack of personalization and suspiciously formal language, but no clear phishing indicators"
"FROM: pudge@perl.org SUBJECT: use Perl Stories for 2002-09-13 EMAIL: use Perl Daily Newsletter In this issue: The Perl Journal Returns Online -------------------------------------------------------------------- The Perl Journal Returns Online posted by pudge on Wednesday September 11 @21:59 links http://use.perl.org/article.plsid02/09/12/026254 -------------------------------------------------------------------- CMP owners of 0The Perl Journal have brought the journal back in the form of an online monthly magazine in PDF form. The subscription rate is 12 a year. They need 3000 subscriptions to move forward no word if existing subscriptions will be honored or included in the 3000. 0Read the site for more details. I think some of the more interesting notes are that it will include ""a healthy dose of opinion"" as well a broadening of coverage including languages other than Perl will this mean a name change and platforms other than Unix Id always thought one of TPJs strengths was that it covered a wide variety of platforms. Discuss this story at: http://use.perl.org/comments.plsid02/09/12/026254 Links: 0. http://www.tpj.com/ Copyright 1997-2002 pudge. All rights reserved. You have received this message because you subscribed to it on use Perl. To stop receiving this and other messages from use Perl or to add more messages or change your preferences please go to your user page. http://use.perl.org/my/messages/ You can log in and change your preferences from there.",Legit,False,Low,"['subscription offer', ' urgency']",['Verify subscription details with the original source before responding'],Legitimate email from use.perl.org with a clear unsubscribe link and subscription information.
SUBJECT: updating your profile information in the gis system EMAIL: as the global vp / md mid - year prc draws closer i want to take the opportunity to stress to you the importance of updating your profile information in the gis system . details on your current responsibilities employment history skills and education should have been updated by 7 july 2000 . for those of you that have not opened your profile in gis i urge you to do so as soon as possible to ensure that your profiles are current and complete . gis is accessible via the hrweb home page on the intranet . you may go to hrweb . enron . com and look for the gis link or just type eglobal . enron . com on the command line of the browser . your timely response to this request is greatly appreciated . thank you,Legit,False,Low,"['Updating profile information', 'Importance emphasized']","[""Verify sender's identity"", ""Check company's HR website for official updates""]","Uses legitimate company name and URL, but lacks specificity and authenticity."
SUBJECT: Culture the Arts and the State in New Zealand in the Wake of Neoliberalism: EMAIL: Seminar tomorrow Culture the Arts and the State in New Zealand in the Wake of Neoliberalism Jenny Lawn Social and Cultural Studies In this seminar I will outline an ongoing research project that I am undertaking in collaboration with Prof. Mark Williams of the University of Canterbury. Drawing on case studies from New Zealand literature and literary infrastructure we are pursuing the view that neoliberalism and cultural reinvention including biculturalism are deeply implicated in each other. The study is proceeding along three inter-related strands of inquiry: 1. The impact of cultural policy: A discussion of the ways in which governments have employed cultural policy to shape national consciousness during this period. 2. Literary form and reception: Analysis of selected authors whose writing and the placing of that writing within a national context have been particularly shaped by the conditions of neoliberalism. 3. The mobilisation of culture: Here we trace some of the ways in which the term culture has tended to sideline the term society in debates about how literature relates to the wider world. The aim of the seminar is to survey the conceptual challenges methodology and structure of the project. See you there Wed. 5 March 4:00 pm AT 3.49. Graeme MacRae School of Social and Cultural Studies Massey University PB 102904 NSMC Auckland New Zealand ph. 09 414 0800 x9045 s.d.nlhltg@massey.ac.nz http://sscs.massey.ac.nz/staff/stfsocanth.htmmacrae,Legit,False,Low,"['Collaboration with Prof. Mark Williams', 'Research project', 'University of Canterbury']","[""Verify the sender's email address and contact information"", 'Check for any spelling or grammar errors in the email', 'Contact the university directly to confirm the seminar details']","The email appears to be from a legitimate academic institution, but it lacks personalization and has some red flags such as an unusual sender format and no explicit call-to-action."
"SUBJECT: re : valero - - meter 8018 EMAIL: does it make a difference if the information is communicated via a copy of customer "" force majeure "" letter or should it only be communicated via notes mail . there are several ways to communicate effectively issues that is beneficial to other departments do you have a preference enron north america corp . from : pat clynes @ enron 08 / 29 / 2000 10 : 13 pm to : robert e lloyd / hou / ect @ ect cc : subject : re : valero - - meter 8018 robert this is an idea of the type of information that should be communicated . thanks pat daren j farmer @ ect 01 / 27 / 2000 03 : 23 pm to : robert e lloyd / hou / ect @ ect pat clynes / corp / enron @ enron cc : subject : valero - - meter 8018 fyi . we need to make sure that this kind of communication conitinues to flow downstream . d - - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 01 / 27 / 2000 03 : 22 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - kenneth seaman 01 / 27 / 2000 02 : 00 pm to : fred boas / hou / ect @ ect joanie h ngo / hou / ect @ ect robert e lloyd / hou / ect @ ect cc : daren j farmer / hou / ect @ ect howard b camp / hou / ect @ ect subject : valero - - meter 8018 deliveries to this meter were halted late in the day of january 20 . the customer has maintenance issues that necessitated an earlier than planned turnaround . it is my understanding from our trader this is another force majure situation resulting in no sale or buyback at this meter commencing with the shutdown . please take this into consideration when allocating and billing the customer . thanks",Legit,False,Low,"['use of generic salutation and title', 'lack of personal touch']","[""Verify sender's identity and company affiliation"", 'Check for spelling and grammar errors', 'Be cautious with requests that require immediate action']","The email appears to be a legitimate communication from Enron Corporation, but the lack of personal touch and use of generic salutation and title may indicate phishing. Further verification is required."
"SUBJECT: Re: sa-learn weirdness... EMAIL: On Fri Feb 08 2008 at 02:02:45PM 0100 Paolo Cravero wrote: > Arthur Dent wrote: > >> Hmmm... Not delete exactly but the sa-learn job take so long that the >> archivemail job has kicked off and finds the ""TempSpam"" and ""TempHam"" mboxes >> in the Mail directory and dutifully chops out anything older than 180 days. I >> didnt think that that would be a problem but maybe its upsetting sa-learn >> I will try switch the order of the jobs archivemail running first and see if >> that makes a difference.. > > At this point you have probably already swapped the two processes. > > I think sa-learn or the process feeding it does not like the chopping. Yes. Sorry I didnt post an update because I was embarrassed at my own stupidity for not thinking it through more carefully before posting my original message. Switching the jobs round did indeed mean that sa-learn is no longer getting interfered with by archivemail while its in mid-learn. It now behaves quite sensibly. >> Well as I explained in my previous post the ""TempHam"" folder is a >> concatenation of all my non-spam folders. Mail that is older than 180 days is >> taken off at one end and new mail c. 30-40 per day added on at the other. >> The total remains roughly constant. > > Dont forget that sa-learn remembers which messages have been learned. Once > your old messages have all been learned you need to feed to it only new > arrivals that is since the last sa-learn run. No need to keep 180 days > worth of ham and spam in the temp folder Yes I understand that. Its not that I keep a temp folder of spam/ham I dont. I know that it only needs to learn the new mails. Its just that Im basically lazy and it seemed far easier for me simply to take all my non-spam folders and copy them together into one big temporary file run sa-learn on it and then delete the temporary file eg: /bin/bash cat /mail/mailinglists/ /mail/WorkStuff/ /mail/Admin/ > TempHam sa-learn --ham --mbox /mail/TempHam rm /mail/TempHam Im no bash-scripting wiz that much should be obvious so I could think of no easy way to strip only todays mails out of my 20-odd folders and just feed those to sa-learn. My way I need to do nothing myself the job takes about half an hour and Im asleep when it happens... OK sa-learn has to work a bit harder than it needs to but hey better it than me The 180 days thing is because I choose to keep only the last 6 months approx mail in each of my 20 or so folders the rest being zipped into a gzip archive using ""Archivemail"" a very neat little utility btw and 180 days is its default setting see I told you I was lazy. > Let sa-learn complete and then chop the folder. Just concatenate the > process rather than schedule it in crontab. It should fix your apparent > weirdness. > > Paolo Thanks for all the help and suggestions. Much appreciated... Mark",Legit,False,Low,"['embarrassed at my own stupidity', 'lazy']","[""Verify the sender's identity"", 'Check for spelling and grammar errors']","The email appears to be a genuine technical discussion between two individuals with access to the same system, and the tone is informal but not suspicious."
SUBJECT: Astrology.com: Cosmic Calendar EMAIL: Difficulties reading this email You can also check your Daily Cosmic Calendar by clicking here. Please add cosmiccalendar@rp.astrology.com to your address book to ensure that your newsletters are delivered correctly. Wednesday August 6 As suggested in yesterdays calendar entry today is potentially a real shocker mixed with plenty of uncertainty. First of all four challenging sky patterns from yesterday involving the Sun Mercury Venus Jupiter Uranus and Pluto are still impacting on humanity and Planet Earth. Now we are adding the following: Mars contra-parallel to Uranus 7:55AM PDT Mars in Virgo opposite to Uranus in Pisces 11:38AM PDT Mercury in Leo opposite to Neptune in Aquarius 11:41AM PDT Pallas in Gemini square to Venus in Virgo 4:53PM PDT. The Mars-Uranus contra-parallel is really a harbinger of their zodiacal polarity happening a few hours later. The Mars-Uranus encounter can manifest as vocal fireworks between associates and family members. Tone down your rhetoric and steer clear of angry outbursts. Instability and surprises are now the rule rather than the exception in key relationships. Meanwhile confusion and nebulosity grow in partnerships as Mercury makes its annual opposition with Neptune. While this can be a good alignment for creative undertakings in film photography music dance and spiritual studies you definitely want to take a rain check when it comes to legal contracts signings and long-term commitments. The Venus-Pallas face-off can equate with poor judgments and only partially successful problem-solving. On the other hand you may still have potent brainstorms and strategy sessions by staying on message and using plenty of commonsense. Libra Moon continues to emphasize the importance of resolving relationship disputes with sensitivity and respect. Dont forget that Junos presence looms large on the psychic landscape as this asteroid is poised to shift from reverse to forward on Friday morning. Copyright 2007 Mark Lerner Great Bear Enterprises Ltd. Let the zodiac guide you to a better relationship and a fulfilling life. Get a Free Astrology Reading today Call 800-648-9330. Todays Free Sample Reading The Real You Reading A joker and a sage a lover and a spitfire -- find all your sides in a free sample of The Real You Reading at Astrology.com. ADVERTISEMENT Sponsored Links from Yahoo Whats this watch this Beckham Lauren Conrad Honored at Teen Choice Freeman Survives Wreck in Serious Condition Morgan Freeman Remains in Serious Condition Click here if you wish to edit your current information or sign up for more exciting newsletters. Click here to unsubscribe from your daily cosmic calendar. If you need to email us please include the following lines in your reply. email recipient: gvcormac@gvc.ceas-challenge.cc --- annmn:742Oas042Oas52nr0F012002At0042Oas0mUb3aUbFT,Legit,False,Low,"['add to address book', 'update information', 'unsubscribe', 'email us']","['Do not click on any links in the email', 'Report the email as spam']","The email contains a legitimate advertisement for Astrology.com, but it also includes suspicious links and requests for personal information."
"SUBJECT: Re: no subject EMAIL: On Wed 17 Oct 2007 12:47:46 EDT Douglas Kline said: > Thanks. Unfortunately I already have that in my /.mh_profile. So it must be > something else that is taking precedence over the ""-nocc me"". I need the following in my .mh_profile so mh knows who ""me"" is so ""-nocc me"" will work: Alternate-Mailboxes: eorcsj.ciiddwmoy@vt.edu valdis@ valdis",Legit,True,High,"['Urgent matter requiring immediate action', 'Personal information request']","['Do not reply or click on any links', ""Report the email to the recipient's IT department""]","The email is phishing because it creates a sense of urgency and requests personal information, which is unusual in legitimate emails."
SUBJECT: revision - black marlin - meter 986782 for 8 / 98 - ua 4 EMAIL: revision - according to measurement there is flow of 7 394 in 8 / 98 however there is nothing to indicate this is gas that was received on hpl in oss . i checked mips and there is a measurement statement that supports the flow rate of 7 394 mmbtu . daren is there a deal in cpr which may not have fed over to oss i checked oss for the whole year of 1998 and there are no other deals in oss . it does seem strange that this is the only month of flow . thanks stella,Legit,False,Low,['Urgency'],"['Verify the information with a colleague or supervisor before taking action.', 'Check for any scheduled maintenance or updates that may have affected the measurement statement.']","The email creates a sense of urgency, but the language used is formal and lacks personalization, which is unusual for a legitimate communication from Daren to Stella."
"SUBJECT: Re: Conditional SMTP Authencation EMAIL: Patrick Ben Koetter wrote: > Oguz Yilmaz : > >> Hello >> >> We want to require SMTP AUTH for users outside for ""all"" e-mails. The >> important point is ""all"" should include emails sent to the mydomain.com. >> In our configuration >> - e-mails which sent by mydomain.com users to domains except for >> mydomain.com requires SMTP AUTH. >> - e-mails which has recipient as mydomain.com is accepted because of >> permit_auth_destinations. >> >> What We want is to >> - e-mails sent by mydomain.com users inside or outside of the network to >> mydomain.com should require SMTP AUTH. >> > > Build a map of all SMTP AUTH login names and the addresses they may use: > > > Then restrict sending messages to remote destinations using > and > . > > b@rick > > > > > > >> - e-mails sent by any other domains to mydomain.com is accepted as should. >> >> >> Our configuration is listed below: >> >> >> smtpd_sender_restrictions >> permit_mynetworks >> permit_sasl_authenticated >> reject_invalid_hostname >> reject_unknown_sender_domain >> reject_non_fqdn_sender >> permit >> >> smtpd_recipient_restrictions >> permit_mynetworks >> permit_sasl_authenticated >> reject_unauth_pipelining >> permit_auth_destination >> reject_unknown_recipient_domain >> reject_non_fqdn_recipient >> reject_unauth_destination >> reject_rbl_client zen.spamhaus.org >> reject_rbl_client list.dsbl.org >> reject_rbl_client multihop.dsbl.org >> reject_rbl_client dnsbl.njabl.org >> >> note that the rbl checks are not performed here. reject_authdestination and reject_unauth_destination cover all possibilities. >> Regards >> >> Oguz Yilmaz >> > >",Legit,False,Low,"['Urgent tone', 'Technical jargon']","[""Verify sender's identity"", 'Check domain reputation', 'Be cautious of unexpected requests for authentication']","The email appears to be a genuine technical discussion from a company employee, but its tone and content are somewhat unusual."
SUBJECT: holiday gifts for customers EMAIL: this year i will be putting together the holiday mailing for west power trading s customers . i would like your input as to what gifts we should send and how many i should purchase in advance . following are my suggestions : 1 sokol blosser wines sent in wooden box with burned enron logo - 2 bottles one pinot noir one evolution white 2 sokol blosser wines - case 12 bottles mixed or not 3 gift baskets of varying value from baskets n more 4 omaha steaks 5 ski lift passes 6 gift certificates you choose 7 enron logo items from our signature shop such as swiss army knives luggage golf clubs and accessories workspace accessories and writing instruments 8 portable lie detector 99 . 95 9 travel atomic alarm clock 29 . 95 10 your request please respond by next friday august 24 so that i may move forward with planning . thank you anna,Legit,False,Low,"['Personalized content', 'Urgency']","[""Verify sender's identity"", 'Be cautious of unusual gift ideas']",Lacks official company branding and lacks a clear call to action.
SUBJECT: Re: perl 47233 Core dump caused by goto EMAIL: Quoth nply@develop-help.com Tony Cook: > On Wed Nov 07 2007 at 09:48:07PM -0500 Jerry D. Hedden wrote: > > Passing undef to a subroutine is permitted. Why does passing undef to > > UNIVERSAL::isa produce a warning It seems to me that this is a bug. > > UNIVERSAL::isa uses the values you supply to it. If your test > attempted to print the value it would warn too. > > Since UNIVERSAL::isa is XS the undef warning is displayed for the > calling context. How easy would it be to change the warning to use of uninitialized value in XS code under the appropriate circumstances It would then not give the impression that it is the call itself that is being warned about. Ben,Legit,False,Low,[],"[""Verify sender's identity"", 'Check for spelling mistakes']",Legitimate email with a clear context and no red flags.
SUBJECT: 1 - urgent - outlook email notification new EMAIL: outlook email notification your date of migration is : may 7 th you will be unable to send e - mail unless you take the following action : please go through your notes email and clean out as many old / un - needed email items as possible before your date of migration . after you are migrated to outlook you will only be allocated 100 mb of total mailbox space . if more than this amount of data is migrated to outlook you will not be able to send e - mail until it is below the 100 mb limit . cleaning up your notes email now will prevent this from happening to you . enron s messaging platform is migrating from lotus notes to microsoft outlook 2000 worldwide . you will be accessing outlook for all of your email functions . why is enron migrating to outlook 2000 many factors contributed to the decision to migrate from lotus notes to microsoft exchange / outlook . the most prominent factors were : significant advantages to moving to a product that is more integrated with current enron apps windows 2000 office and internet explorer more efficient shared pc and roaming user features improved support and integration for palm / ce devices instant messaging capabilities what is being migrated to outlook 2000 email messages . from the date of your scheduled migration the last 30 thirty days of your email will be converted for use in outlook . all your folders in notes you use to store email messages in . to do items journal items calendar entries dating from 1 one year in the past to 10 ten years in the future will be converted . address books but not your distribution lists that you created . you will need to re - create these in outlook . thank you outlook 2000 migration team,Legit,False,Low,"[' Urgent tone', 'Sense of impending loss of functionality if action not taken']","[""Verify sender's identity with Enron through an official website or phone number."", ""Be cautious of generic phrases like 'new EMAIL' and lack of personalization.""]","The email appears to be a genuine notification from Enron regarding their migration to Outlook 2000, but it contains some red flags that may indicate phishing."
SUBJECT: re : expenses EMAIL: louise - tammie has checked and all but one of your expense checks for 2001 have been cashed . tammie indicated that you should have received a check mid - september in the amount of 4 069 . 72 for your last expense reimbursement claim - this check has not been cashed as of yet . do you still have it or would you like to have tammie get it reissued thanks amy - - - - - original message - - - - - from : kitchen louise sent : tuesday november 06 2001 1 : 26 pm to : fitzpatrick amy subject : re : expenses i can t remember cheques - were they ever cashed - - - - - - - - - - - - - - - - - - - - - - - - - - sent from my blackberry wireless handheld,Legit,False,Low,"[' Expense Reimbursement Claim', ' Urgency']","['Verify contact with Tammie through official company channels', 'Do not click on any links']","The email appears to be a legitimate expense reimbursement claim notification from an employee, but the lack of personalization and unusual sender information raises some red flags."
SUBJECT: kick - off meeting for the tw dashboard EMAIL: please attend a meeting on tuesday 1 / 30 from 1 : 00 - 2 : 30 in the eb 4102 / oma 696 to discuss the development / implementation of the tw dashboard . we will give a presentation of the marketing dashboard and then have a brainstorming session on the possible types of information each of you need to manage your day - to - day business . we would like to make sure everyone is using the new dashboard so please click here to access - http : / / nahou - wwrmso 2 p . ets . enron . com / . your id and password are the same as your current logonid ex . llindber for lorraine . please click on the nng tab and think about which of those categories as well as what additional type of information you would like on the tw tab . we are expecting to kick off the requirements phase of your pipeline profile next month so we will also give you a quick presentation of the nng pipeline profile that has been developed . please contact myself at x 3 - 7275 or bobby mason at x 3 - 5196 is you have any questions or if you are unable to attend . thanks martha,Legit,True,High,"['Urgency', 'Personalization', 'Missing company domain']","['Do not click on the link', ""Verify sender's identity"", 'Contact IT department']","The email creates a sense of urgency and uses personalization, but lacks a genuine company domain, indicating phishing."
"SUBJECT: Re: R Font size in plots I do NOT understand par help EMAIL: Stephane Bourgeois wrote: > Hi > > > > I do not get how par works help please. > > > > Lets say I have a simple plot: plot1:10 > > > > I want to change the font size for the x axis... how do I do that > Well you start by reading helppar multiple times and then play around.... Start with e.g. plot1:10 cex.axis2 The problem with that is that it controls the y axis too so plot1:10 cex.axis2 yaxt""n"" axis2 or vice versa plot1:10 xaxt""n"" axis1 cex.axis2 If you didnt actually mean the values consider similar techniques involving cex.lab or cex.sub and the title function. -- O__ ---- Peter Dalgaard Øster Farimagsgade 5 Entr.B c/ /_ --- Dept. of Biostatistics PO Box 2099 1014 Cph. K -- University of Copenhagen Denmark Ph: 45 35327918 - p.dalgaard@biostat.ku.dk FAX: 45 35327907 ______________________________________________ R-help@r-project.org mailing list https://stat.ethz.ch/mailman/listinfo/r-help PLEASE do read the posting guide http://www.R-project.org/posting-guide.html and provide commented minimal self-contained reproducible code.",Legit,False,Low,"['Old style R email format', 'Outdated signature']","[""Verify sender's affiliation with University of Copenhagen Denmark"", 'Check for any malicious links or attachments']","The email has an outdated email format, uses a generic response, and includes a request to read the posting guide which is suspicious."
FROM: Ronan Cunniffe SUBJECT: Re: ILUG Network problems EMAIL: Quoting Eamonn Shinners : > Hi guys > Im looking for help on this one. I have a server with SME5.5 installed > - used to be e-smith. Its based on RH7.1 has a 3c507 NIC and is > connected to a hub. Also connected to the hub are a laptop and > workstation both with RH7.3 . The server supplies DHCP amongst other > things. > The problem is interruptions in the network. If I ping the laptop from > the workstation or the other way around there are no problems i.e. > shows up as 0 loss. If however I ping the server from the laptop or > workstation it will do a few packets anywhere from 3 to 20 and then > stop responding it will start again after a little while. If this is new behaviour in a previously working network what did you do to it Test the cables by switching which machine has which. Test the hub ports by switching cables around. Run ifconfig on the server - any errors and what kind they are. Test the network card... by replacing the thing Seriously if the server has a PCI slot free something like a Realtek 8139 based card costs less than 20 euro. The design is a couple of generations later - more memory less cruft no FSCKING dos config utility no jumpers on the card and its PCI. Ronan. -- Irish Linux Users Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. List maintainer: listmaster@linux.ie,Legit,False,Low,['Quoting a real person'],"[""Verify the sender's identity and research their email address""]","The email is from a legitimate group, Irish Linux Users Group, and includes a quoted message from a real person."
SUBJECT: NZCSRSC08- Registration Last Day EMAIL: FYI. ----- The 6th New Zealand Computer Science Research Student Conference 14-17 April 2008 Christchurch NZCSRSC08- Registration Last Day -------------------------------------- This is a gentle a reminder that tomorrow 19th March is the last day for NZCSRSC08 registration. Registration can be done be via an online form on the website. It is available at http://nzcsrsc08.canterbury.ac.nz/site/registration If you havent registered alreay this is your last chance ----------------------------------------------------------------- NZ Computer Science Research Students Conference University of Canterbury April 14-17 2008 Web : nzcsrsc08.canterbury.ac.nz Blog : nzcsrsc.blogspot.com Premium sponsor : NZi3 http://www.nzi3.com -----------------------------------------------------------------,Legit,False,Low,"['Reminder', 'Last chance']",[],The email appears to be a legitimate reminder about the deadline for registration at the New Zealand Computer Science Research Student Conference.
"SUBJECT: Re: Python-Dev The Breaking of distutils and PyPI for Python 3000 EMAIL: Martin v. Löwis wrote: > I dont see the need to for PyPI. For packages or ""distributions"" > to avoid confusion with Python packages I see two options: > > a provide a single release that supports both 2.x and 3.x. > The precise strategy to do so might vary. If one is going > for a single source version have setup.py run 2to3 > or perhaps 3to2. For dual-source packages have setup.py > just install the one for the right version setup.py itself > needs to be written so it runs on both versions which is > easy to do. > b switch to Python 3 at some point i.e. burn your bridges. > > You seem to be implying that some projects may release separate > source distributions. I cannot imagine why somebody would want > to do that. Thats odd. I cant imagine why anybody would not want to do that. Given the number of issues 2to3 cant fix because it would be too dangerous to guess I certainly cant imagine a just-in-time porting solution that would work reliably. Making two releases means I can migrate once and only once and be done with it. Making a single release work on 2.x and 3.x means I have to keep all of the details of both Python 2 and 3 in my head all the time as I code not to mention litter my codebase with "" the following ugly hack lets us work with Python 2 and 3"" comments so someone else doesnt undo all my hard work when they run the tests on Python 3 but not 2 No thanks. My brain is too small. Robert Brewer rsgairzn@aminus.org _______________________________________________ Python-Dev mailing list zvllln-eum@python.org http://mail.python.org/mailman/listinfo/python-dev Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev40tangomu.com",Legit,False,Low,"['Implying a forced migration to Python 3', 'Creating confusion among developers']","[""Verify sender's identity"", 'Check for spelling mistakes or grammatical errors in email', 'Be cautious of emails with urgent or threatening tone']","The email appears to be from Martin v. Löwis, a known figure in the Python community, and contains a legitimate discussion topic about the future of PyPI and Python versions."
SUBJECT: UAI CFP: Special Issue on random sets and imprecise probabilities EMAIL: CALL FOR PAPERS INTERNATIONAL JOURNAL OF APPROXIMATE REASONING Special Issue on RANDOM SETS AND IMPRECISE PROBABILITIES Random sets or measurable multi-valued mappings constitute a powerful generalisation of random variables with applications on areas as diverse as economics data mining or environmental sciences. On the other hand imprecise probability models have arisen in the last years as a powerful alternative to classical probability for situations when imprecision or vagueness prevents the use of a precise and unique probability distribution with certain guarantees. This special issue is meant to cover the several connections existing between random sets and imprecise probabilities. Foundational issues on this topic include but are not limited to upper and lower probabilities capacities induced by random sets sets of measurable selections upper and lower integrals of random sets and coarse data analysis. Applications of random sets and imprecise probabilities in Computer Science Economics Social Sciences or Information Technology are also welcome. Authors should submit their papers electronically to both special issue editors. The papers must contain original unpublished work that is not being submitted for publication elsewhere. Due to limitations of space only papers with less than 20 pages will be considered. Manuscripts submitted to this special issue should follow the format guidelines that can be found at http://www.elsevier.com/locate/ijar and will be refereed according to the standard procedures for International Journal of Approximate Reasoning. The DEADLINE for submissions is May 15 2006. The issue is expected to be ready by early 2007. Electronic submission is required. Please e-mail a postscript or pdf file of your manuscript to both special issue editors: Hung T. Nguyen Dep. Of Mathematical Sciences New Mexico State University Las Cruces NM 88003-8001-USA e-mail: lxkpgxtn@nmsu.edu Enrique Miranda Dep. of Statistics and O.R. Rey Juan Carlos University C-Tulipán s/n 28933 Móstoles SPAIN e-mail: akekvmb.ujkbhwe@urjc.es,Legit,False,Low,[],['Verify the email address and sender information before responding or taking action.'],"The email appears to be a legitimate call for papers from an academic journal, with clear guidelines and deadlines."
"SUBJECT: parking pass for van ngo EMAIL: good morning louis : please cancel the "" secom "" parking badge that was issued to van ngo for parking in the 777 clay garage while she was working part time with the research group during the holidays . the number on the card is 4280 . i will return the badge to you this morning . the co . is 0011 and the rc is 100038 . thanks louis and have a great day shirley 3 - 5290",Legit,True,High,"['Urgency', 'Threat of account cancellation']","['Do not click on any links', 'Verify the email through a secure channel']","The email creates a sense of urgency and threatens cancellation, which is characteristic of phishing tactics."
"SUBJECT: Re: RC1 uploaded to PAUSE and indexing problems EMAIL: On Nov 18 2007 at 11:31 AM Dominic Dunlop wrote: > On 20071117 at 16:55 Rafael Garcia-Suarez wrote: > >> 5.10.0 RC1 is out woohoo Its currently propagating to the >> mirrors. Its bleadperl at change 32367. >> > Mac OS X 10.5.1 PowerPC: > > Failed 3 tests out of 1427 99.79 okay. > ../ext/threads/shared/t/stress.t > ../lib/Archive/Tar/t/02_methods.t > ../lib/Archive/Tar/t/04_resolved_issues.t .. > ../lib/Archive/Tar/t/02_methods.t ../lib/Archive/Tar/t/ > 04_resolved_issues.t: These two dont fail if I run the tests on a > UFS partition so I suspect that the problem is something to to > with Apples default case-preserving-but-case-folding HFS. A quick > look at the test code leaves me bemused. Jarkko what type of > filesystem did you do your build in Copied to Jos Boumans > maintainer of Archive::Tar in the hope that a bell rings. No bell but can you show the verbose output of the test run including which tests fail Without information itll be near impossible to track down. Thanks -- Jos Boumans ""If superman is so smart why does he wear underpants over his trousers"" CPANPLUS http://cpanplus.sf.net",Legit,False,Low,"['Urgent', 'Problem to be solved']","[""Verify the email sender's identity"", 'Check for typos or suspicious keywords']","The email appears to be a genuine technical discussion from the CPANPLUS mailing list, with a dash of humor and minimal attempts at social engineering."
